Date,Civil Twilight Start,Sunrise,Local Noon,Sunset,Civil Twilight End,Illumination Day,Illumination Sky,Illumination Total
Feb 4,7:37,8:14,12:48,17:22,18:00,9.13,1.26,10.38
Feb 5,7:35,8:13,12:48,17:24,18:01,9.19,1.25,10.44
Feb 6,7:33,8:11,12:48,17:26,18:03,9.25,1.25,10.5
Feb 7,7:32,8:09,12:48,17:28,18:05,9.32,1.24,10.56
Feb 8,7:30,8:07,12:48,17:30,18:07,9.38,1.24,10.62
Feb 9,7:28,8:05,12:48,17:32,18:09,9.45,1.24,10.68
Feb 10,7:26,8:03,12:48,17:34,18:11,9.51,1.23,10.74
Feb 11,7:24,8:01,12:48,17:36,18:13,9.58,1.23,10.8
Feb 12,7:22,7:59,12:48,17:38,18:14,9.64,1.22,10.87
Feb 13,7:21,7:57,12:48,17:40,18:16,9.71,1.22,10.93
Feb 14,7:19,7:55,12:48,17:42,18:18,9.78,1.21,10.99
Feb 15,7:17,7:53,12:48,17:44,18:20,9.85,1.21,11.06
Feb 16,7:15,7:51,12:48,17:46,18:22,9.91,1.21,11.12
Feb 17,7:13,7:49,12:48,17:48,18:24,9.98,1.2,11.18
Feb 18,7:11,7:47,12:48,17:50,18:26,10.05,1.2,11.25
Feb 19,7:09,7:45,12:48,17:52,18:28,10.12,1.2,11.31
Feb 20,7:07,7:42,12:48,17:54,18:29,10.19,1.19,11.38
Feb 21,7:05,7:40,12:47,17:56,18:31,10.26,1.19,11.45
Feb 22,7:02,7:38,12:47,17:58,18:33,10.33,1.19,11.51
Feb 23,7:00,7:36,12:47,18:00,18:35,10.39,1.18,11.58
Feb 24,6:58,7:34,12:47,18:01,18:37,10.46,1.18,11.65
Feb 25,6:56,7:31,12:47,18:03,18:39,10.53,1.18,11.71
Feb 26,6:54,7:29,12:47,18:05,18:41,10.6,1.18,11.78
Feb 27,6:52,7:27,12:47,18:07,18:43,10.67,1.17,11.85
Feb 28,6:49,7:25,12:46,18:09,18:44,10.74,1.17,11.92
Feb 29,6:47,7:22,12:46,18:11,18:46,10.82,1.17,11.99
Mar 1,6:45,7:20,12:46,18:13,18:48,10.89,1.17,12.05
Mar 2,6:43,7:18,12:46,18:15,18:50,10.96,1.17,12.12
Mar 3,6:40,7:15,12:46,18:17,18:52,11.03,1.17,12.19
Mar 4,6:38,7:13,12:45,18:19,18:54,11.1,1.16,12.26
Mar 5,6:36,7:11,12:45,18:21,18:56,11.17,1.16,12.33
Mar 6,6:33,7:08,12:45,18:23,18:58,11.24,1.16,12.4
Mar 7,6:31,7:06,12:45,18:25,18:59,11.31,1.16,12.47
Mar 8,6:29,7:03,12:44,18:26,19:01,11.38,1.16,12.54
Mar 9,6:26,7:01,12:44,18:28,19:03,11.45,1.16,12.61
Mar 10,6:24,6:59,12:44,18:30,19:05,11.52,1.16,12.68
Mar 11,6:22,6:56,12:44,18:32,19:07,11.6,1.16,12.76
Mar 12,6:19,6:54,12:43,18:34,19:09,11.67,1.16,12.83
Mar 13,6:17,6:51,12:43,18:36,19:11,11.74,1.16,12.9
Mar 14,6:14,6:49,12:43,18:38,19:12,11.81,1.16,12.97
Mar 15,6:12,6:47,12:43,18:40,19:14,11.88,1.16,13.04
Mar 16,6:09,6:44,12:42,18:41,19:16,11.95,1.16,13.11
Mar 17,6:07,6:42,12:42,18:43,19:18,12.02,1.16,13.18
Mar 18,6:05,6:39,12:42,18:45,19:20,12.1,1.16,13.26
Mar 19,6:02,6:37,12:41,18:47,19:22,12.17,1.16,13.33
Mar 20,6:00,6:35,12:41,18:49,19:24,12.24,1.16,13.4
Mar 21,5:57,6:32,12:41,18:51,19:26,12.31,1.16,13.47
Mar 22,5:55,6:30,12:41,18:52,19:28,12.38,1.17,13.55
Mar 23,5:52,6:27,12:40,18:54,19:29,12.45,1.17,13.62
Mar 24,5:50,6:25,12:40,18:56,19:31,12.52,1.17,13.69
Mar 25,5:47,6:22,12:40,18:58,19:33,12.59,1.17,13.77
Mar 26,5:45,6:20,12:39,19:00,19:35,12.67,1.17,13.84
Mar 27,5:42,6:17,12:39,19:02,19:37,12.74,1.18,13.91
Mar 28,5:40,6:15,12:39,19:04,19:39,12.81,1.18,13.99
Mar 29,5:37,6:13,12:38,19:05,19:41,12.88,1.18,14.06
Mar 30,5:35,6:10,12:38,19:07,19:43,12.95,1.18,14.13
Mar 31,5:32,6:08,12:38,19:09,19:45,13.02,1.19,14.21
Apr 1,5:30,6:05,12:38,19:11,19:47,13.09,1.19,14.28
Apr 2,5:27,6:03,12:37,19:13,19:49,13.16,1.19,14.36
Apr 3,5:25,6:01,12:37,19:14,19:50,13.23,1.2,14.43
Apr 4,5:22,5:58,12:37,19:16,19:52,13.3,1.2,14.5
Apr 5,5:20,5:56,12:36,19:18,19:54,13.37,1.2,14.58
Apr 6,5:17,5:53,12:36,19:20,19:56,13.44,1.21,14.65
Apr 7,5:15,5:51,12:36,19:22,19:58,13.51,1.21,14.73
Apr 8,5:12,5:49,12:36,19:24,20:00,13.58,1.22,14.8
Apr 9,5:10,5:46,12:35,19:25,20:02,13.65,1.22,14.88
Apr 10,5:07,5:44,12:35,19:27,20:04,13.72,1.23,14.95
Apr 11,5:05,5:42,12:35,19:29,20:06,13.79,1.23,15.02
Apr 12,5:02,5:39,12:34,19:31,20:08,13.86,1.24,15.1
Apr 13,5:00,5:37,12:34,19:33,20:10,13.93,1.24,15.17
Apr 14,4:57,5:35,12:34,19:35,20:12,14,1.25,15.25
Apr 15,4:55,5:32,12:34,19:36,20:14,14.07,1.25,15.32
Apr 16,4:52,5:30,12:34,19:38,20:16,14.14,1.26,15.4
Apr 17,4:50,5:28,12:33,19:40,20:18,14.21,1.26,15.47
Apr 18,4:47,5:25,12:33,19:42,20:20,14.28,1.27,15.55
Apr 19,4:45,5:23,12:33,19:44,20:22,14.34,1.28,15.62
Apr 20,4:43,5:21,12:33,19:46,20:24,14.41,1.28,15.69
Apr 21,4:40,5:19,12:32,19:47,20:26,14.48,1.29,15.77
Apr 22,4:38,5:17,12:32,19:49,20:28,14.55,1.3,15.84
Apr 23,4:35,5:14,12:32,19:51,20:30,14.61,1.3,15.92
Apr 24,4:33,5:12,12:32,19:53,20:32,14.68,1.31,15.99
Apr 25,4:31,5:10,12:32,19:55,20:34,14.74,1.32,16.06
Apr 26,4:28,5:08,12:32,19:56,20:36,14.81,1.33,16.14
Apr 27,4:26,5:06,12:31,19:58,20:38,14.88,1.33,16.21
Apr 28,4:24,5:04,12:31,20:00,20:41,14.94,1.34,16.28
Apr 29,4:21,5:02,12:31,20:02,20:43,15.01,1.35,16.36
Apr 30,4:19,5:00,12:31,20:04,20:45,15.07,1.36,16.43
May 1,4:17,4:58,12:31,20:06,20:47,15.13,1.37,16.5
May 2,4:14,4:56,12:31,20:07,20:49,15.2,1.38,16.57
May 3,4:12,4:54,12:31,20:09,20:51,15.26,1.39,16.64
May 4,4:10,4:52,12:31,20:11,20:53,15.32,1.39,16.71
May 5,4:08,4:50,12:31,20:13,20:55,15.38,1.4,16.79
May 6,4:06,4:48,12:30,20:14,20:57,15.44,1.41,16.86
May 7,4:03,4:46,12:30,20:16,20:59,15.5,1.42,16.93
May 8,4:01,4:44,12:30,20:18,21:01,15.56,1.43,16.99
May 9,3:59,4:42,12:30,20:20,21:03,15.62,1.44,17.06
May 10,3:57,4:40,12:30,20:21,21:05,15.68,1.45,17.13
May 11,3:55,4:39,12:30,20:23,21:07,15.74,1.46,17.2
May 12,3:53,4:37,12:30,20:25,21:09,15.8,1.47,17.27
May 13,3:51,4:35,12:30,20:26,21:11,15.85,1.48,17.33
May 14,3:49,4:34,12:30,20:28,21:13,15.91,1.49,17.4
May 15,3:47,4:32,12:30,20:30,21:15,15.96,1.5,17.46
May 16,3:45,4:30,12:30,20:31,21:17,16.01,1.51,17.53
May 17,3:43,4:29,12:30,20:33,21:19,16.07,1.52,17.59
May 18,3:42,4:27,12:30,20:34,21:21,16.12,1.53,17.65
May 19,3:40,4:26,12:30,20:36,21:23,16.17,1.54,17.71
May 20,3:38,4:24,12:31,20:38,21:24,16.22,1.55,17.77
May 21,3:36,4:23,12:31,20:39,21:26,16.27,1.56,17.83
May 22,3:35,4:22,12:31,20:41,21:28,16.31,1.58,17.89
May 23,3:33,4:20,12:31,20:42,21:30,16.36,1.59,17.95
May 24,3:31,4:19,12:31,20:43,21:32,16.41,1.6,18
May 25,3:30,4:18,12:31,20:45,21:33,16.45,1.61,18.06
May 26,3:28,4:17,12:31,20:46,21:35,16.49,1.62,18.11
May 27,3:27,4:16,12:31,20:48,21:37,16.53,1.63,18.16
May 28,3:26,4:15,12:31,20:49,21:38,16.57,1.64,18.21
May 29,3:24,4:14,12:31,20:50,21:40,16.61,1.65,18.26
May 30,3:23,4:13,12:32,20:51,21:41,16.65,1.66,18.3
May 31,3:22,4:12,12:32,20:53,21:43,16.68,1.67,18.35
Jun 1,3:21,4:11,12:32,20:54,21:44,16.72,1.67,18.39
Jun 2,3:20,4:10,12:32,20:55,21:46,16.75,1.68,18.43
Jun 3,3:18,4:09,12:32,20:56,21:47,16.78,1.69,18.47
Jun 4,3:17,4:08,12:32,20:57,21:48,16.81,1.7,18.51
Jun 5,3:17,4:08,12:33,20:58,21:49,16.84,1.71,18.55
Jun 6,3:16,4:07,12:33,20:59,21:51,16.87,1.72,18.58
Jun 7,3:15,4:06,12:33,21:00,21:52,16.89,1.72,18.61
Jun 8,3:14,4:06,12:33,21:01,21:53,16.91,1.73,18.64
Jun 9,3:14,4:06,12:33,21:02,21:54,16.93,1.74,18.67
Jun 10,3:13,4:05,12:34,21:02,21:55,16.95,1.74,18.7
Jun 11,3:12,4:05,12:34,21:03,21:56,16.97,1.75,18.72
Jun 12,3:12,4:04,12:34,21:04,21:56,16.99,1.75,18.74
Jun 13,3:12,4:04,12:34,21:04,21:57,17,1.76,18.76
Jun 14,3:11,4:04,12:34,21:05,21:58,17.01,1.76,18.77
Jun 15,3:11,4:04,12:35,21:05,21:58,17.02,1.76,18.79
Jun 16,3:11,4:04,12:35,21:06,21:59,17.03,1.77,18.8
Jun 17,3:11,4:04,12:35,21:06,21:59,17.04,1.77,18.81
Jun 18,3:11,4:04,12:35,21:07,22:00,17.04,1.77,18.81
Jun 19,3:11,4:04,12:35,21:07,22:00,17.05,1.77,18.82
Jun 20,3:11,4:04,12:36,21:07,22:00,17.05,1.77,18.82
Jun 21,3:11,4:04,12:36,21:07,22:00,17.05,1.77,18.82
Jun 22,3:12,4:05,12:36,21:07,22:00,17.04,1.77,18.81
Jun 23,3:12,4:05,12:36,21:07,22:00,17.04,1.77,18.81
Jun 24,3:12,4:05,12:37,21:07,22:00,17.03,1.77,18.8
Jun 25,3:13,4:06,12:37,21:07,22:00,17.03,1.76,18.79
Jun 26,3:14,4:06,12:37,21:07,22:00,17.01,1.76,18.77
Jun 27,3:14,4:07,12:37,21:07,22:00,17,1.76,18.76
Jun 28,3:15,4:08,12:37,21:07,21:59,16.99,1.75,18.74
Jun 29,3:16,4:08,12:38,21:07,21:59,16.97,1.75,18.72
Jun 30,3:17,4:09,12:38,21:06,21:58,16.96,1.74,18.7
Jul 1,3:17,4:10,12:38,21:06,21:58,16.94,1.74,18.67
Jul 2,3:18,4:10,12:38,21:05,21:57,16.92,1.73,18.65
Jul 3,3:19,4:11,12:38,21:05,21:56,16.89,1.72,18.62
Jul 4,3:21,4:12,12:38,21:04,21:56,16.87,1.72,18.58
Jul 5,3:22,4:13,12:39,21:04,21:55,16.84,1.71,18.55
Jul 6,3:23,4:14,12:39,21:03,21:54,16.82,1.7,18.52
Jul 7,3:24,4:15,12:39,21:02,21:53,16.79,1.69,18.48
Jul 8,3:25,4:16,12:39,21:01,21:52,16.76,1.68,18.44
Jul 9,3:27,4:17,12:39,21:01,21:51,16.72,1.68,18.4
Jul 10,3:28,4:18,12:39,21:00,21:50,16.69,1.67,18.36
Jul 11,3:30,4:20,12:40,20:59,21:48,16.65,1.66,18.31
Jul 12,3:31,4:21,12:40,20:58,21:47,16.62,1.65,18.26
Jul 13,3:33,4:22,12:40,20:57,21:46,16.58,1.64,18.22
Jul 14,3:34,4:23,12:40,20:56,21:44,16.54,1.63,18.17
Jul 15,3:36,4:25,12:40,20:55,21:43,16.5,1.62,18.12
Jul 16,3:38,4:26,12:40,20:53,21:41,16.46,1.61,18.06
Jul 17,3:39,4:27,12:40,20:52,21:40,16.41,1.6,18.01
Jul 18,3:41,4:29,12:40,20:51,21:38,16.37,1.59,17.96
Jul 19,3:43,4:30,12:40,20:50,21:37,16.32,1.58,17.9
Jul 20,3:44,4:32,12:40,20:48,21:35,16.28,1.57,17.84
Jul 21,3:46,4:33,12:40,20:47,21:33,16.23,1.56,17.78
Jul 22,3:48,4:35,12:40,20:45,21:32,16.18,1.55,17.73
Jul 23,3:50,4:36,12:40,20:44,21:30,16.13,1.54,17.67
Jul 24,3:52,4:38,12:40,20:42,21:28,16.08,1.53,17.6
Jul 25,3:54,4:39,12:40,20:41,21:26,16.03,1.51,17.54
Jul 26,3:55,4:41,12:40,20:39,21:24,15.97,1.5,17.48
Jul 27,3:57,4:42,12:40,20:38,21:22,15.92,1.49,17.41
Jul 28,3:59,4:44,12:40,20:36,21:20,15.87,1.48,17.35
Jul 29,4:01,4:45,12:40,20:34,21:18,15.81,1.47,17.28
Jul 30,4:03,4:47,12:40,20:32,21:16,15.75,1.46,17.22
Jul 31,4:05,4:49,12:40,20:31,21:14,15.7,1.45,17.15
Aug 1,4:07,4:50,12:40,20:29,21:12,15.64,1.44,17.08
Aug 2,4:09,4:52,12:40,20:27,21:10,15.58,1.43,17.02
Aug 3,4:11,4:54,12:40,20:25,21:08,15.52,1.43,16.95
Aug 4,4:13,4:55,12:40,20:23,21:06,15.46,1.42,16.88
Aug 5,4:15,4:57,12:40,20:21,21:03,15.4,1.41,16.81
Aug 6,4:17,4:59,12:40,20:19,21:01,15.34,1.4,16.74
Aug 7,4:19,5:01,12:40,20:17,20:59,15.28,1.39,16.67
Aug 8,4:21,5:02,12:39,20:15,20:57,15.22,1.38,16.6
Aug 9,4:23,5:04,12:39,20:13,20:54,15.16,1.37,16.53
Aug 10,4:25,5:06,12:39,20:11,20:52,15.1,1.36,16.46
Aug 11,4:27,5:07,12:39,20:09,20:50,15.03,1.35,16.39
Aug 12,4:29,5:09,12:39,20:07,20:48,14.97,1.35,16.31
Aug 13,4:31,5:11,12:39,20:05,20:45,14.9,1.34,16.24
Aug 14,4:33,5:13,12:38,20:03,20:43,14.84,1.33,16.17
Aug 15,4:35,5:14,12:38,20:01,20:40,14.78,1.32,16.1
Aug 16,4:37,5:16,12:38,19:59,20:38,14.71,1.32,16.03
Aug 17,4:38,5:18,12:38,19:57,20:36,14.64,1.31,15.95
Aug 18,4:40,5:20,12:38,19:54,20:33,14.58,1.3,15.88
Aug 19,4:42,5:21,12:37,19:52,20:31,14.51,1.29,15.81
Aug 20,4:44,5:23,12:37,19:50,20:28,14.45,1.29,15.73
Aug 21,4:46,5:25,12:37,19:48,20:26,14.38,1.28,15.66
Aug 22,4:48,5:27,12:37,19:45,20:23,14.31,1.27,15.59
Aug 23,4:50,5:28,12:36,19:43,20:21,14.25,1.27,15.51
Aug 24,4:52,5:30,12:36,19:41,20:19,14.18,1.26,15.44
Aug 25,4:54,5:32,12:36,19:39,20:16,14.11,1.26,15.37
Aug 26,4:56,5:34,12:35,19:36,20:14,14.04,1.25,15.29
Aug 27,4:58,5:35,12:35,19:34,20:11,13.98,1.25,15.22
Aug 28,5:00,5:37,12:35,19:32,20:09,13.91,1.24,15.15
Aug 29,5:02,5:39,12:35,19:29,20:06,13.84,1.23,15.07
Aug 30,5:04,5:41,12:34,19:27,20:04,13.77,1.23,15
Aug 31,5:05,5:42,12:34,19:24,20:01,13.7,1.22,14.93
Sep 1,5:07,5:44,12:34,19:22,19:59,13.63,1.22,14.85
Sep 2,5:09,5:46,12:33,19:20,19:56,13.56,1.22,14.78
Sep 3,5:11,5:48,12:33,19:17,19:54,13.49,1.21,14.71
Sep 4,5:13,5:49,12:33,19:15,19:51,13.43,1.21,14.63
Sep 5,5:15,5:51,12:32,19:12,19:48,13.36,1.2,14.56
Sep 6,5:17,5:53,12:32,19:10,19:46,13.29,1.2,14.49
Sep 7,5:19,5:55,12:32,19:08,19:43,13.22,1.2,14.41
Sep 8,5:20,5:56,12:31,19:05,19:41,13.15,1.19,14.34
Sep 9,5:22,5:58,12:31,19:03,19:38,13.08,1.19,14.27
Sep 10,5:24,6:00,12:31,19:00,19:36,13.01,1.19,14.2
Sep 11,5:26,6:02,12:30,18:58,19:33,12.94,1.18,14.12
Sep 12,5:28,6:03,12:30,18:55,19:31,12.87,1.18,14.05
Sep 13,5:30,6:05,12:30,18:53,19:28,12.8,1.18,13.98
Sep 14,5:31,6:07,12:29,18:51,19:26,12.73,1.18,13.91
Sep 15,5:33,6:09,12:29,18:48,19:23,12.66,1.17,13.83
Sep 16,5:35,6:10,12:28,18:46,19:21,12.59,1.17,13.76
Sep 17,5:37,6:12,12:28,18:43,19:18,12.52,1.17,13.69
Sep 18,5:39,6:14,12:28,18:41,19:16,12.45,1.17,13.62
Sep 19,5:40,6:16,12:27,18:38,19:13,12.38,1.17,13.55
Sep 20,5:42,6:17,12:27,18:36,19:11,12.31,1.16,13.47
Sep 21,5:44,6:19,12:27,18:33,19:08,12.24,1.16,13.4
Sep 22,5:46,6:21,12:26,18:31,19:06,12.17,1.16,13.33
Sep 23,5:48,6:23,12:26,18:28,19:03,12.1,1.16,13.26
Sep 24,5:49,6:24,12:26,18:26,19:01,12.03,1.16,13.19
Sep 25,5:51,6:26,12:25,18:24,18:58,11.96,1.16,13.12
Sep 26,5:53,6:28,12:25,18:21,18:56,11.89,1.16,13.05
Sep 27,5:55,6:30,12:25,18:19,18:53,11.82,1.16,12.98
Sep 28,5:57,6:31,12:24,18:16,18:51,11.75,1.16,12.91
Sep 29,5:58,6:33,12:24,18:14,18:48,11.68,1.16,12.83
Sep 30,6:00,6:35,12:24,18:11,18:46,11.61,1.16,12.76
Oct 1,6:02,6:37,12:23,18:09,18:44,11.54,1.16,12.69
Oct 2,6:04,6:39,12:23,18:06,18:41,11.47,1.16,12.63
Oct 3,6:05,6:40,12:23,18:04,18:39,11.4,1.16,12.56
Oct 4,6:07,6:42,12:22,18:02,18:36,11.33,1.16,12.49
Oct 5,6:09,6:44,12:22,17:59,18:34,11.26,1.16,12.42
Oct 6,6:11,6:46,12:22,17:57,18:32,11.19,1.16,12.35
Oct 7,6:13,6:48,12:22,17:55,18:29,11.12,1.16,12.28
Oct 8,6:14,6:49,12:21,17:52,18:27,11.05,1.17,12.21
Oct 9,6:16,6:51,12:21,17:50,18:25,10.98,1.17,12.14
Oct 10,6:18,6:53,12:21,17:47,18:22,10.91,1.17,12.07
Oct 11,6:20,6:55,12:20,17:45,18:20,10.84,1.17,12.01
Oct 12,6:22,6:57,12:20,17:43,18:18,10.77,1.17,11.94
Oct 13,6:23,6:59,12:20,17:40,18:16,10.7,1.17,11.87
Oct 14,6:25,7:00,12:20,17:38,18:13,10.63,1.18,11.8
Oct 15,6:27,7:02,12:20,17:36,18:11,10.56,1.18,11.74
Oct 16,6:29,7:04,12:19,17:34,18:09,10.49,1.18,11.67
Oct 17,6:31,7:06,12:19,17:31,18:07,10.42,1.18,11.61
Oct 18,6:32,7:08,12:19,17:29,18:05,10.35,1.19,11.54
Oct 19,6:34,7:10,12:19,17:27,18:03,10.28,1.19,11.47
Oct 20,6:36,7:12,12:19,17:25,18:00,10.22,1.19,11.41
Oct 21,6:38,7:14,12:18,17:22,17:58,10.15,1.2,11.34
Oct 22,6:39,7:15,12:18,17:20,17:56,10.08,1.2,11.28
Oct 23,6:41,7:17,12:18,17:18,17:54,10.01,1.2,11.21
Oct 24,6:43,7:19,12:18,17:16,17:52,9.95,1.21,11.15
Oct 25,6:45,7:21,12:18,17:14,17:50,9.88,1.21,11.09
Oct 26,6:47,7:23,12:18,17:12,17:48,9.81,1.21,11.02
Oct 27,6:48,7:25,12:18,17:10,17:46,9.75,1.22,10.96
Oct 28,6:50,7:27,12:18,17:08,17:44,9.68,1.22,10.9
Oct 29,6:52,7:29,12:18,17:06,17:42,9.61,1.22,10.84
Oct 30,6:54,7:31,12:18,17:04,17:40,9.55,1.23,10.78
Oct 31,6:56,7:33,12:18,17:02,17:39,9.48,1.23,10.72
Nov 1,6:57,7:35,12:18,17:00,17:37,9.42,1.24,10.66
Nov 2,6:59,7:36,12:18,16:58,17:35,9.35,1.24,10.6
Nov 3,7:01,7:38,12:18,16:56,17:33,9.29,1.25,10.54
Nov 4,7:03,7:40,12:18,16:54,17:32,9.23,1.25,10.48
Nov 5,7:05,7:42,12:18,16:52,17:30,9.17,1.26,10.42
Nov 6,7:06,7:44,12:18,16:50,17:28,9.1,1.26,10.36
Nov 7,7:08,7:46,12:18,16:49,17:27,9.04,1.27,10.31
Nov 8,7:10,7:48,12:18,16:47,17:25,8.98,1.27,10.25
Nov 9,7:12,7:50,12:18,16:45,17:23,8.92,1.28,10.2
Nov 10,7:13,7:52,12:18,16:43,17:22,8.86,1.28,10.14
Nov 11,7:15,7:54,12:18,16:42,17:20,8.8,1.29,10.09
Nov 12,7:17,7:56,12:18,16:40,17:19,8.74,1.29,10.03
Nov 13,7:19,7:57,12:18,16:39,17:17,8.69,1.3,9.98
Nov 14,7:20,7:59,12:19,16:37,17:16,8.63,1.3,9.93
Nov 15,7:22,8:01,12:19,16:36,17:15,8.57,1.31,9.88
Nov 16,7:24,8:03,12:19,16:34,17:13,8.52,1.31,9.83
Nov 17,7:25,8:05,12:19,16:33,17:12,8.46,1.32,9.78
Nov 18,7:27,8:07,12:19,16:31,17:11,8.41,1.32,9.74
Nov 19,7:29,8:08,12:20,16:30,17:10,8.36,1.33,9.69
Nov 20,7:30,8:10,12:20,16:29,17:09,8.31,1.33,9.64
Nov 21,7:32,8:12,12:20,16:28,17:08,8.26,1.34,9.6
Nov 22,7:33,8:14,12:20,16:26,17:07,8.21,1.34,9.55
Nov 23,7:35,8:15,12:21,16:25,17:06,8.16,1.35,9.51
Nov 24,7:36,8:17,12:21,16:24,17:05,8.12,1.36,9.47
Nov 25,7:38,8:19,12:21,16:23,17:04,8.07,1.36,9.43
Nov 26,7:39,8:20,12:21,16:22,17:03,8.03,1.37,9.39
Nov 27,7:41,8:22,12:22,16:21,17:02,7.98,1.37,9.35
Nov 28,7:42,8:24,12:22,16:20,17:01,7.94,1.38,9.32
Nov 29,7:44,8:25,12:23,16:19,17:01,7.9,1.38,9.28
Nov 30,7:45,8:27,12:23,16:19,17:00,7.86,1.38,9.25
Dec 1,7:47,8:28,12:23,16:18,17:00,7.83,1.39,9.22
Dec 2,7:48,8:30,12:24,16:17,16:59,7.79,1.39,9.19
Dec 3,7:49,8:31,12:24,16:17,16:59,7.76,1.4,9.16
Dec 4,7:50,8:32,12:24,16:16,16:58,7.73,1.4,9.13
Dec 5,7:52,8:34,12:25,16:16,16:58,7.7,1.41,9.1
Dec 6,7:53,8:35,12:25,16:15,16:57,7.67,1.41,9.08
Dec 7,7:54,8:36,12:26,16:15,16:57,7.64,1.41,9.05
Dec 8,7:55,8:38,12:26,16:14,16:57,7.62,1.42,9.03
Dec 9,7:56,8:39,12:27,16:14,16:57,7.59,1.42,9.01
Dec 10,7:57,8:40,12:27,16:14,16:57,7.57,1.42,8.99
Dec 11,7:58,8:41,12:28,16:14,16:57,7.55,1.43,8.98
Dec 12,7:59,8:42,12:28,16:14,16:57,7.53,1.43,8.96
Dec 13,8:00,8:43,12:28,16:14,16:57,7.52,1.43,8.95
Dec 14,8:01,8:44,12:29,16:14,16:57,7.5,1.43,8.93
Dec 15,8:02,8:45,12:29,16:14,16:57,7.49,1.43,8.92
Dec 16,8:02,8:45,12:30,16:14,16:57,7.48,1.43,8.91
Dec 17,8:03,8:46,12:30,16:15,16:58,7.47,1.44,8.91
Dec 18,8:04,8:47,12:31,16:15,16:58,7.47,1.44,8.9
Dec 19,8:04,8:48,12:31,16:15,16:58,7.46,1.44,8.9
Dec 20,8:05,8:48,12:32,16:16,16:59,7.46,1.44,8.9
Dec 21,8:05,8:49,12:32,16:16,16:59,7.46,1.44,8.9
Dec 22,8:06,8:49,12:33,16:17,17:00,7.46,1.44,8.9
Dec 23,8:06,8:49,12:33,16:17,17:00,7.46,1.44,8.9
Dec 24,8:07,8:50,12:34,16:18,17:01,7.47,1.44,8.91
Dec 25,8:07,8:50,12:34,16:19,17:02,7.48,1.44,8.91
Dec 26,8:07,8:50,12:35,16:20,17:03,7.49,1.43,8.92
Dec 27,8:07,8:50,12:35,16:20,17:03,7.5,1.43,8.93
Dec 28,8:08,8:50,12:36,16:21,17:04,7.51,1.43,8.94
Dec 29,8:08,8:50,12:36,16:22,17:05,7.53,1.43,8.96
Dec 30,8:08,8:50,12:37,16:23,17:06,7.55,1.43,8.97
Dec 31,8:08,8:50,12:37,16:24,17:07,7.57,1.42,8.99
